央视,#genre#
河南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226115/1.m3u8
江西卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225911/1.m3u8
黑龙江卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225915/1.m3u8
东南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225917/1.m3u8
贵州卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225923/1.m3u8
广东卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226051/1.m3u8
甘肃卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225661/1.m3u8
陕西卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225563/1.m3u8
山西卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225565/1.m3u8
广西卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226111/1.m3u8
吉林卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226121/1.m3u8
河北卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226127/1.m3u8
海南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226331/1.m3u8
青海卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226424/1.m3u8
宁夏卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225559/1.m3u8
内蒙古卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225649/1.m3u8
新疆卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225645/1.m3u8
西藏卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225671/1.m3u8
兵团卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225647/1.m3u8
CETV1,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226057/1.m3u8
CETV4,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226335/1.m3u8
山东教育,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225883/1.m3u8
数字,#genre#
凤凰资讯,http://A/ku9/js//fhshow.js?id=fhzx
凤凰中文,http://A/ku9/js//fhshow.js?id=fhzw
凤凰香港,http://A/ku9/js//fhshow.js?id=fhhk
风云剧场,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226401/1.m3u8
第一剧场,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226411/1.m3u8
怀旧剧场,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226388/1.m3u8
世界地理,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226403/1.m3u8
风云音乐,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226413/1.m3u8
风云足球,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226405/1.m3u8
央视台球,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226380/1.m3u8
高尔夫网球,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226382/1.m3u8
卫生健康,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226417/1.m3u8
天元围棋,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226396/1.m3u8
女性时尚,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226409/1.m3u8
兵器科技,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226386/1.m3u8
央视文化精品,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226415/1.m3u8
电视指南,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226384/1.m3u8
早期教育,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226390/1.m3u8
金鹰纪实,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225925/1.m3u8
北京纪实科教,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226373/1.m3u8
都市剧场,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226393/1.m3u8
快乐垂钓,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226297/1.m3u8
乐游,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226383/1.m3u8
法治天地,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226385/1.m3u8
东方财经,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226387/1.m3u8
生活时尚,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226391/1.m3u8
金色学堂,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226349/1.m3u8
财富天下,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226338/1.m3u8
环球旅游,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226341/1.m3u8
四海钓鱼,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226343/1.m3u8
武术世界,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226370/1.m3u8
文物宝库,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226372/1.m3u8
梨园频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226395/1.m3u8
新视觉HD,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226437/1.m3u8
游戏风云,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226351/1.m3u8
